,id,created_at,story,original_url,retweeted_status_id,quoted_status_id,in_reply_to_status_id,partisan_lean
7083,1334200610393092098,2020-12-02 18:19:48+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340245206598246e+18,,,unknown
7084,1334104473430585345,2020-12-02 11:57:47+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340245206598246e+18,,,right
7085,1333927261334949889,2020-12-02 00:13:36+00,tech: Hammer and Scorecard,https://www.waynedupree.com/2020/11/mcinerney-trump-election/?utm_source=right-rail-trending,,1.3339200912520684e+18,,right
7086,1333926544562147331,2020-12-02 00:10:46+00,tech: Hammer and Scorecard,https://www.waynedupree.com/2020/11/mcinerney-trump-election/?utm_source=right-rail-trending,1.3339200912520684e+18,,,right
7087,1333928054851325953,2020-12-02 00:16:46+00,tech: Hammer and Scorecard,https://www.waynedupree.com/2020/11/mcinerney-trump-election/?utm_source=right-rail-trending,1.3339200912520684e+18,,,right
7088,1334103449429012484,2020-12-02 11:53:43+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7089,1333926687436910592,2020-12-02 00:11:20+00,tech: Hammer and Scorecard,https://www.waynedupree.com/2020/11/mcinerney-trump-election/?utm_source=right-rail-trending,1.3339200912520684e+18,,,right
7090,1333926363401695238,2020-12-02 00:10:02+00,tech: Hammer and Scorecard,https://www.waynedupree.com/2020/11/mcinerney-trump-election/?utm_source=right-rail-trending,1.3339200912520684e+18,,,right
7091,1334188279164526595,2020-12-02 17:30:48+00,tech: Hammer and Scorecard,,,1.3331428162691113e+18,,right
7092,1334188747668287488,2020-12-02 17:32:40+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7093,1334190202085134337,2020-12-02 17:38:26+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7094,1334148446727659530,2020-12-02 14:52:31+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340245206598246e+18,,,right
7095,1334238816362586113,2020-12-02 20:51:37+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7096,1333981554691895296,2020-12-02 03:49:21+00,tech: Hammer and Scorecard,https://gellerreport.com/2020/11/lt-gen-mcinerney-us-special-forces-attacked-cia-server-farm-in-germany-in-server-seizure-operation-5-soldiers-killed-servers-secured.html/,1.3331334065872527e+18,1.3273646436612465e+18,,right
7097,1334137528526524418,2020-12-02 14:09:08+00,tech: Hammer and Scorecard,,1.3339578428569313e+18,1.33284338281352e+18,,left
7098,1334265371629535237,2020-12-02 22:37:08+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7099,1333939381573476352,2020-12-02 01:01:46+00,tech: Hammer and Scorecard,https://theamericanreport.org/2020/11/27/the-kraken-revealed-proves-domestic-traitors-and-foreign-enemies-attempted-to-steal-americas-election/,1.333879489860866e+18,,,right
7100,1333939109816102912,2020-12-02 01:00:41+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
