created_at,id,text,context_annotations,geo
2023-05-13 15:55:42+00:00,1657414324011294720,"RT @SpokesmanReview: Backed by former auto shop owner, ‘right-to-repair’ bills pick up steam in Congress, statehouses https://t.co/yI5vt4Z1…",[],
2023-05-11 22:46:57+00:00,1656793040676167681,"Here’s the transcript:

https://t.co/RzgLHGIUVe https://t.co/NTW8VjpRzn",[],
2023-05-11 22:45:42+00:00,1656792726094897152,"Joe Kent’s back for another run and he’s got the same extreme plan: close all our borders to all immigration for the next 20 years in order to re-establish a white majority.

Southwest Washington rejected his garbage ideas in 2022 and we’ll do it again in 2024. https://t.co/7nX10tauDU https://t.co/wXL3DDZl0R","[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1291447199595782144', 'name': 'United States politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1518689897296453633', 'name': 'United States political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1561888608839053314', 'name': 'Immigration to the United States'}}]",
2023-04-27 23:28:54+00:00,1651730166463496193,"I ran for Congress to build a better future for my son &amp; every kid across the country – one where they can afford a good life &amp; everything they need, whether they work in Congress or an auto shop. https://t.co/qENbSsVP6M",[],
2023-04-27 23:28:53+00:00,1651730165343584256,"Today is Take Your Child To Work Day, an incredible opportunity for kids to dream about their futures. But for me &amp; countless other families, this could be a normal day because of one simple fact: child care is way too expensive. And it shouldn’t be!",[],
2023-04-27 21:12:29+00:00,1651695839562330113,"RT @LetAmericaVote: In Washington’s 3rd Congressional District, we’re proud to endorse #NoCorporatePAC candidate Rep. @MGPforCongress for r…",[],
2023-04-25 21:35:04+00:00,1650976743837286400,Great news! This is progress. Now let's make it true across the nation...💪💪💪 #RightToRepair https://t.co/X5LmrUal7t,"[{'domain': {'id': '159', 'name': 'States', 'description': 'States, provinces, or prefectures, like California or Fukushima Prefecture'}, 'entity': {'id': '856862177474433024', 'name': 'Colorado', 'description': 'Colorado'}}]",
2023-04-23 00:03:45+00:00,1649926997890707456,"As someone who lives in an old growth forest and still heats their house from wood, I understand the threat climate change poses to our rural community. That's why I'm working to get things done for our community on the bipartisan coalition to extend forest restoration #EarthDay https://t.co/nnxzLu2JU4","[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1231938152383668224', 'name': 'Earth Day', 'description': 'This entity covers all conversations for all years for Earth Day'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1231938152383668224', 'name': 'Earth Day', 'description': 'This entity covers all conversations for all years for Earth Day'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847548225712119808', 'name': 'Holidays', 'description': 'Holidays'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248631349096767488', 'name': 'Environmentalism'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1265415402915393537', 'name': 'Climate change'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1278017316656082945', 'name': 'Green living'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1291095284756357120', 'name': 'Cultural events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}]",
2023-04-22 03:57:31+00:00,1649623439291056128,"I was elected because I never stop fighting for what’s right. Our fight for the right to choose is not over &amp; I won’t stop fighting until all women have access to safe reproductive care.

#SCOTUS #mifepristone","[{'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '1291447199595782144', 'name': 'United States politics'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '867872043672326144', 'name': 'Supreme Court of the United States', 'description': 'Conversation about the Supreme Court and justices'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '867872043672326144', 'name': 'Supreme Court of the United States', 'description': 'Conversation about the Supreme Court and justices'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1068583660914266113', 'name': 'Government institutions', 'description': 'Political Body'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1518650792080666625', 'name': 'United States government institutions'}}]",
2023-04-22 03:56:39+00:00,1649623223066312704,"All Americans deserve the right to safe reproductive healthcare &amp; to not fear that it’ll be taken away. Today, SCOTUS ruled to keep mifepristone available for now, but it shouldn’t even be a question. #Mifepristone is essential healthcare.","[{'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '1291447199595782144', 'name': 'United States politics'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '867872043672326144', 'name': 'Supreme Court of the United States', 'description': 'Conversation about the Supreme Court and justices'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '867872043672326144', 'name': 'Supreme Court of the United States', 'description': 'Conversation about the Supreme Court and justices'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1068583660914266113', 'name': 'Government institutions', 'description': 'Political Body'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1518650792080666625', 'name': 'United States government institutions'}}]",
